               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075447,             0.03717,            0.041259,             0.49772,             0.77067,             0.65234,             0.32939,            0.053698,            0.015153,            0.023685,              0.0033,              0.0033,              0.0703
                   1,            0.056443,            0.022511,            0.022563,             0.44876,             0.84995,             0.54526,             0.24685,            0.043903,            0.011622,           0.0089913,           0.0059766,           0.0059766,            0.039643
                   2,            0.052056,              0.0194,            0.014415,             0.72341,             0.76091,             0.84991,             0.49799,            0.043815,            0.009803,           0.0061079,           0.0079933,           0.0079933,           0.0083266
                   3,            0.045555,            0.017533,            0.010609,             0.96732,             0.97998,             0.99083,             0.69089,            0.036019,           0.0087496,           0.0051156,             0.00703,             0.00703,             0.00703
                   4,             0.03949,            0.015801,           0.0085159,             0.97136,             0.97593,             0.99244,              0.7898,            0.029124,           0.0077936,           0.0043688,             0.00703,             0.00703,             0.00703
                   5,            0.033608,             0.01478,           0.0073218,             0.88971,             0.99663,             0.98594,             0.79674,            0.023308,           0.0077403,           0.0040141,             0.00604,             0.00604,             0.00604
                   6,            0.029513,            0.014724,            0.007366,             0.98774,             0.97155,               0.995,             0.80344,            0.020538,           0.0066813,           0.0038293,             0.00505,             0.00505,             0.00505
                   7,            0.026079,            0.013455,           0.0058541,             0.98712,             0.99249,             0.99462,             0.85352,            0.018514,           0.0061981,           0.0034984,             0.00406,             0.00406,             0.00406
                   8,            0.023102,            0.012496,           0.0056533,             0.99724,             0.99844,               0.995,             0.89082,            0.015802,            0.006544,           0.0034536,             0.00307,             0.00307,             0.00307
                   9,            0.020314,            0.011921,           0.0051472,             0.99733,             0.97796,             0.99489,             0.94136,            0.014044,           0.0054115,           0.0030831,             0.00208,             0.00208,             0.00208
